Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Mohamed Salah,eg EGY,FW,32-342,36.5,164,4.5,119,2,22,14,5,2,27,0.74,20,0,5,2,0,0,Matches
Virgil van Dijk,nl NED,DF,33-319,36.0,48,1.33,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0,Matches
Ryan Gravenberch,nl NED,MF,23-007,34.4,66,1.92,58,0,5,2,0,1,6,0.17,6,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,26-150,28.9,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0,Matches
Ibrahima Konaté,fr FRA,DF,25-363,27.8,31,1.12,26,0,0,4,0,1,7,0.25,6,0,0,0,0,1,Matches
Dominik Szoboszlai,hu HUN,MF,24-210,27.0,117,4.33,88,7,5,13,3,1,16,0.59,12,1,0,3,0,0,Matches
Andrew Robertson,sct SCO,DF,31-073,26.6,78,2.93,66,9,1,1,0,1,4,0.15,4,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,26-228,25.8,95,3.68,73,14,4,4,0,0,10,0.39,9,1,0,0,0,0,Matches
Alisson,br BRA,GK,32-233,26.9,6,0.22,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,28-130,25.9,117,4.52,88,0,16,9,4,0,16,0.62,13,0,1,0,2,0,Matches
Cody Gakpo,nl NED,FW,26-016,20.5,76,3.71,55,0,9,5,5,2,7,0.34,3,0,3,0,1,0,Matches
Curtis Jones,eng ENG,"MF,DF",24-113,18.0,49,2.72,42,1,0,4,2,0,8,0.44,5,1,0,1,1,0,Matches
Diogo Jota,pt POR,FW,28-170,13.0,35,2.7,22,0,6,5,1,1,9,0.7,5,0,2,1,1,0,Matches
Caoimhín Kelleher,ie IRL,GK,26-181,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,29-011,9.3,31,3.33,21,9,0,0,1,0,2,0.21,1,1,0,0,0,0,Matches
Darwin Núñez,uy URU,FW,25-333,12.3,30,2.44,20,0,4,1,2,3,4,0.33,3,0,0,0,1,0,Matches
Conor Bradley,nir NIR,DF,21-318,7.9,19,2.42,13,0,5,0,1,0,4,0.51,3,0,1,0,0,0,Matches
Joe Gomez,eng ENG,DF,28-000,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Jarell Quansah,eng ENG,DF,22-114,5.5,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-049,4.1,21,5.18,17,3,1,0,0,0,3,0.74,3,0,0,0,0,0,Matches
Wataru Endo,jp JPN,"MF,DF",32-103,2.8,6,2.13,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,FW,27-210,1.2,6,5.0,6,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
Vitezslav Jaros,cz CZE,GK,23-304,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
